Identificador do processo de viagem,Número da Proposta (PCDP),Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço,Data da emissão/compra,Hora da emissão/compra
19380149,000050/24,Aéreo,Estados Unidos da América,,Filadelfia - Pensilvânia,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4058,00","0,00",22/11/2023,20:26
19380823,000005/24,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"427,11","0,00",01/11/2023,11:09
19380823,000005/24,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"297,78","1,14",01/11/2023,11:09
19381545,000047/24,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Corning - Nova Iorque,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3906,42","0,00",23/11/2023,13:40
19381545,000047/24,Aéreo,Estados Unidos da América,,Filadelfia - Pensilvânia,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3906,42","0,00",23/11/2023,13:40
19381650,000042/24,Aéreo,Brasil,Pará,Belém,Brasil,Distrito Federal,Brasília,Brasil,Distrito Federal,Brasília,Brasil,Pará,Belém,"2436,30","0,02",11/10/2023,16:10
19384831,000012/24,Aéreo,Bélgica,,Bruxelas,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"5106,31","0,00",27/10/2023,13:15
19391742,000006/24,Aéreo,Panamá,,Cidade do Panamá,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1717,18","0,00",08/12/2023,09:49
19391742,000006/24,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Panamá,,Cidade do Panamá,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1717,18","0,00",08/12/2023,09:49
19392547,000083/24,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Corning - Nova Iorque,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3653,78","0,00",22/11/2023,20:22
19392547,000083/24,Aéreo,Estados Unidos da América,,Filadelfia - Pensilvânia,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3653,78","0,00",22/11/2023,20:22
19392719,000048/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Corning - Nova Iorque,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3653,78","0,00",22/11/2023,19:54
19392719,000048/24-1C,Aéreo,Estados Unidos da América,,Filadelfia - Pensilvânia,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3653,78","0,00",22/11/2023,19:54
19399169,000002/24,Aéreo,Brasil,Paraná,Curitiba,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Paraná,Curitiba,"682,58","0,00",18/10/2023,09:56
19399261,000004/24-1C,Aéreo,Brasil,Paraná,Curitiba,Brasil,Rondônia,Porto Velho,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"2716,79","0,00",18/10/2023,15:19
19399261,000004/24-1C,Aéreo,Brasil,Rondônia,Porto Velho,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1414,41","0,00",18/10/2023,15:19
19400155,000017/24,Aéreo,Bélgica,,Bruxelas,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"5106,31","0,00",27/10/2023,13:12
19400534,000067/24,Aéreo,Brasil,Amazonas,Manaus,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1065,02","0,00",30/10/2023,12:55
19402634,000009/24,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,São Paulo,São Paulo,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"316,59","42,29",22/11/2023,12:25
19402634,000009/24,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"314,98","51,98",22/11/2023,12:25
19403070,000070/24,Aéreo,Brasil,Pernambuco,Recife,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"644,43","52,74",10/11/2023,16:31
19407005,000003/24-1C,Rodoviário,Brasil,Paraná,Maringá,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"502,60","0,00",18/10/2023,14:59
19407005,000003/24-1C,Rodoviário,Brasil,Paraná,Curitiba,Brasil,Paraná,Maringá,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"504,90","0,00",18/10/2023,14:59
19407262,000075/24,Aéreo,Colômbia,,Bogotá,Brasil,Minas Gerais,Uberlândia,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6207,98","0,00",14/11/2023,18:48
19407454,000074/24,Aéreo,Colômbia,,Bogotá,Brasil,Minas Gerais,Uberlândia,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6207,98","0,00",14/11/2023,18:50
19407601,000073/24,Aéreo,Colômbia,,Bogotá,Brasil,Minas Gerais,Uberlândia,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6207,98","0,00",14/11/2023,18:52
19407618,000004/24-1C,Aéreo,Espanha,,Barcelona,Brasil,Paraná,Londrina,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"297,53","0,00",15/12/2023,17:58
19407618,000004/24-1C,Aéreo,Brasil,Paraná,Londrina,China,,Xangai,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"19504,72","0,00",15/12/2023,17:58
19407618,000004/24-1C,Aéreo,China,,Xangai,China,,Jinan - Shandong,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1534,69","0,00",08/01/2024,20:21
19407618,000004/24-1C,Aéreo,China,,Jinan - Shandong,China,,Wuhan,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1494,03","0,00",08/01/2024,20:21
19407618,000004/24-1C,Aéreo,China,,Wuhan,Espanha,,Barcelona,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"587,57","3814,94",08/01/2024,20:21
